TOC (%),Moisture (%),Temp (C),Pres. (MPa),CO2 Excess Sorption (cm3/gr)
5.79,1.34,45,21.464,1.305767925
5.79,1.34,45,22.241,1.292437516
5.79,1.34,45,22.821,1.320874532
5.79,1.34,45,23.243,1.325695095
5.79,1.34,45,23.546,1.329191408
5.79,1.34,45,23.766,1.331748208
5.79,1.34,45,23.919,1.333535334
5.79,1.34,45,24.02,1.312473775
5.79,1.34,45,24.069,1.313039634
10.94,0.39,45,0.987,3.190676285
10.94,0.39,45,2.63,2.764437127
10.94,0.39,45,4.205,3.05149641
10.94,0.39,45,5.67,3.27099783
10.94,0.39,45,7.806,3.49184783
10.94,0.39,45,9.369,3.593662126
10.94,0.39,45,10.784,3.648106088
10.94,0.39,45,12.073,3.688505607
10.94,0.39,45,13.243,3.711159978
10.94,0.39,45,14.313,3.714122025
10.94,0.39,45,15.294,3.716870434
10.94,0.39,45,16.993,3.698100932
10.94,0.39,45,18.457,3.675087239
10.94,0.39,45,19.557,3.642559871
10.94,0.39,45,21.267,3.606698973
10.94,0.39,45,22.7,3.584649602
10.94,0.39,45,23.767,3.573555638
10.94,0.39,45,24.701,3.558376621
10.94,0.39,45,25.379,3.557514222
10.94,0.39,45,25.902,3.551742276
10.94,0.39,45,26.279,3.541246251
10.94,0.39,45,26.586,3.551203534
10.94,0.68,45,1.079,2.512322063
10.94,0.68,45,2.659,2.411784403
10.94,0.68,45,4.159,2.697582847
10.94,0.68,45,5.558,2.886568707
10.94,0.68,45,6.854,3.016817669
10.94,0.68,45,8.048,3.127496088
10.94,0.68,45,9.153,3.188826214
10.94,0.68,45,10.175,3.236320807
10.94,0.68,45,11.122,3.267216151
10.94,0.68,45,12.001,3.279806314
10.94,0.68,45,12.82,3.293432394
10.94,0.68,45,13.576,3.307380288
10.94,0.68,45,14.279,3.300746251
10.94,0.68,45,14.929,3.314383931
10.94,0.68,45,15.531,3.306821179
10.94,0.68,45,16.636,3.290400386
